scripts_html\Bamboozled.html,1,1,1
scripts_html\Barry Lyndon.html,1,0,0
scripts_html\Barton Fink.html,1,0,0
scripts_html\Basic Instinct.html,1,1,1
scripts_html\Basic.html,0,0,0
scripts_html\Basquiat.html,1,1,1
scripts_html\Batman 2.html,1,1,1
scripts_html\Batman.html,1,1,1
"scripts_html\Battle of Algiers, The.html",0,0,0
"scripts_html\Battle of Shaker Heights, The.html",1,1,1
scripts_html\Battle_ Los Angeles.html,1,0,0
"scripts_html\Beach, The.html",0,0,0
scripts_html\Bean.html,1,1,1
scripts_html\Beasts of No Nation.html,1,0,0
scripts_html\Beasts of the Southern Wild.html,1,1,0
scripts_html\Beauty and the Beast.html,1,1,1
scripts_html\Beavis and Butt-head Do America.html,1,0,1
scripts_html\Beginners.html,1,1,1
scripts_html\Being Human.html,1,0,0
scripts_html\Being John Malkovich.html,1,1,1
scripts_html\Being There.html,1,1,1
"scripts_html\Believer, The.html",1,1,1
scripts_html\Belle.html,1,1,1
scripts_html\Beloved.html,1,1,1
"scripts_html\Best Exotic Marigold Hotel, The.html",1,1,1
"scripts_html\Big Blue, The.html",1,0,0
scripts_html\Big Eyes.html,1,1,1
scripts_html\Big Fish.html,1,1,1
"scripts_html\Big Lebowski, The.html",1,0,0
"scripts_html\Big Sick, The.html",1,1,1
"scripts_html\Big White, The.html",1,1,1
scripts_html\Big.html,1,1,1
scripts_html\Birdman.html,1,1,1
"scripts_html\Birds, The.html",1,1,1
scripts_html\Birthday Girl.html,1,0,0
"scripts_html\Black Dahlia, The.html",1,1,1
scripts_html\Black Panther.html,1,0,0
scripts_html\Black Rain.html,1,0,0
scripts_html\Black Snake Moan.html,1,1,1
scripts_html\Black Swan.html,1,1,1
scripts_html\BlacKkKlansman.html,1,0,0
scripts_html\Blade II.html,0,0,0
scripts_html\Blade Runner.html,1,1,1
scripts_html\Blade.html,1,1,1
scripts_html\Blade_ Trinity.html,1,0,0
"scripts_html\Blast from the Past, The.html",0,0,0
"scripts_html\Blind Side, The.html",1,1,1
"scripts_html\Bling Ring, The.html",1,1,1
scripts_html\Blood and Wine.html,1,1,1
scripts_html\Blood Simple.html,1,1,1
scripts_html\Blow.html,1,1,1
scripts_html\Blue Valentine.html,1,1,1
scripts_html\Blue Velvet.html,1,1,1
scripts_html\Body Heat.html,1,1,1
scripts_html\Body of Evidence.html,1,1,0
scripts_html\Bodyguard.html,1,1,1
scripts_html\Bones.html,1,1,1
scripts_html\Bonfire of the Vanities.html,1,1,1
scripts_html\Bonnie and Clyde.html,1,1,1
scripts_html\Boogie Nights.html,1,1,1
"scripts_html\Book of Eli, The.html",1,1,1
scripts_html\Boondock Saints 2_ All Saints Day.html,1,1,1
"scripts_html\Boondock Saints, The.html",1,1,0
scripts_html\Bottle Rocket.html,0,0,0
scripts_html\Bound.html,1,1,0
"scripts_html\Bounty Hunter, The.html",1,1,1
"scripts_html\Bourne Identity, The.html",1,0,0
"scripts_html\Bourne Supremacy, The.html",1,1,1
"scripts_html\Bourne Ultimatum, The.html",0,0,0
"scripts_html\Box, The.html",1,1,1
"scripts_html\Boxtrolls, The.html",0,0,0
scripts_html\Boyhood.html,1,1,1
scripts_html\Braveheart.html,1,0,0
scripts_html\Brazil.html,0,0,0
scripts_html\Break.html,0,0,0
scripts_html\Breakdown.html,1,0,1
"scripts_html\Breakfast Club, The.html",1,1,1
scripts_html\Breaking Away.html,1,1,0
scripts_html\Brick.html,1,1,1
scripts_html\Bridesmaids.html,1,1,1
scripts_html\Bringing Out the Dead.html,1,1,1
scripts_html\Broadcast News.html,1,1,1
scripts_html\Broken Arrow.html,1,0,1
scripts_html\Broken Embraces.html,1,0,0
"scripts_html\Brothers Bloom, The.html",1,0,0
scripts_html\Bruce Almighty.html,1,1,1
scripts_html\Buffy the Vampire Slayer.html,0,0,0
scripts_html\Bull Durham.html,1,1,1
scripts_html\Buried.html,1,0,0
scripts_html\Burlesque.html,1,1,1
scripts_html\Burn After Reading.html,1,1,1
scripts_html\Burning Annie.html,1,1,1
"scripts_html\Butterfly Effect, The.html",1,1,1
scripts_html\Cable Guy.html,1,1,1
scripts_html\Candle to Water.html,1,1,0
scripts_html\Capote.html,1,1,1
scripts_html\Carrie.html,1,1,1
scripts_html\Cars 2.html,1,1,1
scripts_html\Case 39.html,1,1,1
scripts_html\Casino.html,1,1,1
scripts_html\Cast Away.html,1,0,0
scripts_html\Catch Me If You Can.html,1,1,1
scripts_html\Catwoman.html,1,1,1
scripts_html\Cecil B. Demented.html,1,1,1
scripts_html\Cedar Rapids.html,1,1,1
"scripts_html\Cell, The.html",1,1,1
scripts_html\Cellular.html,1,1,1
"scripts_html\Change-Up, The.html",1,1,1
scripts_html\Changeling.html,1,1,1
scripts_html\Chaos.html,1,0,0
scripts_html\Charade.html,1,1,1
scripts_html\Charlie's Angels.html,1,1,1
scripts_html\Chasing Amy.html,1,1,1
scripts_html\Chasing Sleep.html,1,1,1
scripts_html\Cherry Falls.html,1,1,1
scripts_html\Chinatown.html,1,1,0
scripts_html\Christ Complex.html,1,1,1
scripts_html\Chronicle.html,1,1,0
"scripts_html\Chronicles of Narnia_ The Lion, the Witch and the Wardrobe.html",1,1,1
"scripts_html\Cider House Rules, The.html",1,1,1
"scripts_html\Cincinnati Kid, The.html",1,1,1
scripts_html\Cinema Paradiso.html,0,0,0
scripts_html\Cirque du Freak_ The Vampire's Assistant.html,1,1,1
scripts_html\Citizen Kane.html,1,1,1
scripts_html\City of Joy.html,1,1,1
scripts_html\Clash of the Titans.html,1,0,1
scripts_html\Clerks.html,1,0,0
scripts_html\Cliffhanger.html,1,1,1
scripts_html\Clueless.html,0,0,0
scripts_html\Cobb.html,1,1,1
scripts_html\Coco.html,0,0,0
scripts_html\Code of Silence.html,1,1,1
scripts_html\Cold Mountain.html,1,1,1
scripts_html\Collateral Damage.html,1,1,1
scripts_html\Collateral.html,1,1,1
scripts_html\Colombiana.html,1,1,1
scripts_html\Color of Night.html,1,1,1
scripts_html\Commando.html,0,0,0
scripts_html\Conan the Barbarian.html,0,0,0
scripts_html\Confessions of a Dangerous Mind.html,1,1,1
scripts_html\Confidence.html,1,1,1
scripts_html\Constantine.html,1,0,0
"scripts_html\Cooler, The.html",1,1,1
scripts_html\Copycat.html,1,1,1
scripts_html\Coraline.html,1,1,1
scripts_html\Coriolanus.html,1,0,0
scripts_html\Cradle 2 the Grave.html,1,1,1
scripts_html\Crank.html,1,0,0
scripts_html\Crash.html,1,1,1
"scripts_html\Crazy, Stupid, Love.html",1,1,1
scripts_html\Crazylove.html,1,1,1
scripts_html\Creation.html,1,1,1
scripts_html\Crime Spree.html,1,1,1
